name,type,distance,moving_time,total_elevation_gain,start_date
USWNT to Langchain party ty Martin ,EBikeRide,2989.2,625,14.6,2023-07-22T03:27:41Z
Lunch Walk,Walk,1035.3,126,5.8,2023-07-21T18:39:07Z
Afternoon Ride,Ride,1594.6,427,8.4,2023-07-21T00:37:08Z
Morning Walk,Walk,1935.2,1388,0.0,2023-07-20T16:30:36Z
Evening Tennis,Workout,0.0,5262,0.0,2023-07-20T02:35:37Z
Evening Walk,Walk,1967.1,1307,5.8,2023-07-20T02:11:51Z
Evening Tennis,Workout,0.0,6033,0.0,2023-07-19T01:44:41Z
I’m back morning run ,Run,13016.7,5137,60.0,2023-07-18T14:11:15Z
Lizzie and Craig post-LLM meetup ,EBikeRide,2568.8,785,90.2,2023-07-18T04:29:54Z
Bike to LLM meetup ,Ride,4056.6,995,17.4,2023-07-18T00:18:53Z
Afternoon Run,Run,4910.5,1858,71.0,2023-07-17T22:40:43Z
Post-Sam’s concert hi Kan,Ride,9603.6,2579,96.4,2023-07-17T02:00:52Z
Evening Walk,Walk,2464.1,1925,10.4,2023-07-16T23:11:48Z
Afternoon Walk,Walk,1918.8,1448,13.8,2023-07-16T21:53:14Z
Bike to BK,Ride,9376.9,2592,63.8,2023-07-16T20:55:09Z
Evening Walk,Walk,1611.0,1272,6.2,2023-07-16T00:43:59Z
Afternoon Walk,Walk,1303.8,141,0.0,2023-07-15T18:57:41Z
Lunch Walk,Walk,1844.6,1304,2.2,2023-07-15T16:04:17Z
It should be illegal to be this hot nyc run ,Run,7428.6,2844,32.6,2023-07-15T14:19:29Z
Night Walk,Walk,2105.2,1642,58.2,2023-07-15T04:15:46Z
walk to conference ,Walk,1723.2,1160,12.2,2023-07-14T13:13:59Z
Park to bway ,Walk,3524.4,2524,29.4,2023-07-13T23:06:40Z
Afternoon Walk,Walk,1388.5,141,0.0,2023-07-13T20:26:56Z
Afternoon Walk,Walk,2208.8,852,8.6,2023-07-13T19:51:53Z
Afternoon Walk,Walk,3023.4,1866,5.0,2023-07-13T18:19:48Z
Bus. Club. Another club. Walk,Walk,2689.0,2202,0.0,2023-07-13T00:47:04Z
Evening Walk,Walk,1082.3,890,0.0,2023-07-12T23:04:21Z
Lunch Walk,Walk,1749.5,303,0.0,2023-07-12T15:08:50Z
Morning Walk,Walk,1656.8,1270,13.4,2023-07-12T13:09:18Z
Night Walk,Walk,1467.3,439,4.4,2023-07-12T01:35:01Z
Evening Walk,Walk,736.5,6,0.0,2023-07-11T23:50:53Z
Dubs tennis,Workout,0.0,5347,0.0,2023-07-11T02:33:47Z
Run with bagels ,Run,6145.5,2422,56.8,2023-07-10T21:08:38Z
Meeting went late sprint for TooGoodToGo bagels,Run,6365.5,2033,20.2,2023-07-10T20:27:43Z
Evening Weight Training,WeightTraining,0.0,904,0.0,2023-07-10T03:11:17Z
Evening Elliptical,Elliptical,0.0,3813,0.0,2023-07-10T01:58:23Z
Afternoon Walk,Walk,2241.0,1450,11.4,2023-07-09T20:32:09Z
Afternoon Ride,Ride,5805.4,1155,45.0,2023-07-08T22:45:40Z
Playoff sweep singles lfg,Workout,0.0,5338,0.0,2023-07-08T18:45:11Z
Ride to playoffs ,Ride,5816.5,1371,81.4,2023-07-08T17:40:33Z
E-bike back bc MEETUP WAS FULL,EBikeRide,4510.6,838,90.6,2023-07-08T00:56:02Z
E-bike ride to ai meetup ,EBikeRide,2827.0,800,15.8,2023-07-08T00:24:53Z
Jen singles practice ,Workout,0.0,5379,0.0,2023-07-07T19:21:34Z
Lunch Walk,Walk,1678.6,1076,2.6,2023-07-07T18:47:04Z
Ride to Thursday nights in ai night 2 ,Ride,2967.8,809,9.4,2023-07-07T01:08:10Z
Morning Walk,Walk,1752.5,1322,2.8,2023-07-06T16:59:40Z
Craig comes back today early run bc meetup,Run,12133.1,4373,61.6,2023-07-06T13:54:07Z
Charlie vs me and Nico ,Workout,0.0,1552,0.0,2023-07-06T04:06:52Z
Afternoon Tennis,Workout,0.0,537,0.0,2023-07-06T00:32:23Z
"Pre-bbq, post-csv vs pandas agent epiphany ",Run,12619.0,4857,98.6,2023-07-04T20:06:14Z
Afternoon Elliptical,Elliptical,0.0,2433,0.0,2023-07-04T00:22:46Z
Stanford salut Clément ,Walk,1344.6,373,7.2,2023-07-03T20:43:24Z
Night Ride,Ride,4697.9,1100,16.6,2023-07-03T04:08:40Z
Tennis break ride ,Ride,2076.7,442,11.0,2023-07-02T23:49:00Z
Lunch Ride,Ride,5874.0,1359,69.8,2023-07-02T19:03:09Z
Evening Weight Training,WeightTraining,0.0,939,0.0,2023-07-02T02:42:10Z
Evening Elliptical,Elliptical,0.0,1338,0.0,2023-07-02T02:19:38Z
Presidio ride x sports basement ,Ride,11975.7,2807,138.6,2023-07-01T21:29:23Z
Afternoon Ride,Ride,3085.5,767,12.6,2023-07-01T20:59:54Z
Run with bagels ,Run,6029.5,2333,35.2,2023-06-30T20:54:00Z
Run for bagels ,Run,6767.3,2275,30.2,2023-06-30T20:10:27Z
Night Ride,Ride,4911.9,1436,92.4,2023-06-30T04:36:39Z
Afternoon Ride,Ride,3592.9,872,3.0,2023-06-29T21:49:50Z
Lunch Ride,Ride,2294.7,500,0.0,2023-06-29T18:43:25Z
Afternoon Ride,Ride,6199.5,1506,77.4,2023-06-28T23:27:05Z
I left an after party for this run lol,Run,14068.2,5242,122.8,2023-06-28T13:48:58Z
Morning Weight Training,WeightTraining,0.0,515,0.0,2023-06-27T17:54:29Z
Morning Elliptical,Elliptical,0.0,2828,0.0,2023-06-27T17:05:43Z
Quick laps testing new shoes ,Run,3523.3,1136,22.8,2023-06-27T02:07:02Z
Afternoon Ride,Ride,6316.7,1472,90.4,2023-06-25T21:05:09Z
Morning Ride,Ride,6081.4,1423,65.8,2023-06-25T15:27:11Z
Post-pizza ride ,Ride,10067.6,2027,136.6,2023-06-25T01:03:49Z
Bike for pizza went to wrong laundromat ,Ride,5280.9,1126,87.2,2023-06-24T23:44:19Z
Afternoon Walk,Walk,1985.5,954,8.4,2023-06-24T23:22:40Z
Coffee to picnic hi E long way feat new Valencia bike lane ,Ride,16032.3,3683,115.2,2023-06-24T20:35:48Z
Ride for coffee,Ride,6872.2,1748,5.6,2023-06-24T19:22:26Z
Night Walk,Walk,2345.0,1293,54.0,2023-06-24T05:00:51Z
I went to bed early to get this done omg ,Run,13397.4,4971,79.2,2023-06-23T14:10:03Z
Lunch Walk,Walk,1697.1,1427,12.4,2023-06-22T18:21:08Z
Morning Walk,Walk,1761.4,1402,0.0,2023-06-21T17:11:29Z
The one where shubha + Lizzie run for fruit that’s on sale,Run,9482.2,4044,125.0,2023-06-20T23:11:04Z
Lunch Walk,Walk,1318.9,334,15.6,2023-06-20T19:32:21Z
Afternoon Weight Training,WeightTraining,0.0,783,0.0,2023-06-20T00:55:54Z
Afternoon Elliptical,Elliptical,0.0,3609,0.0,2023-06-19T23:54:45Z
Afternoon Ride,Ride,4457.1,1356,83.0,2023-06-19T21:33:01Z
Lunch Ride,Ride,5937.7,1633,69.8,2023-06-19T18:39:33Z
Crosstown trail ,Walk,24550.9,19338,765.4,2023-06-18T20:52:00Z
Lunch Ride,Ride,6393.9,1477,84.4,2023-06-18T19:25:02Z
Morning Ride,Ride,6164.0,1351,76.2,2023-06-18T15:25:36Z
Afternoon Tennis,Workout,0.0,1073,0.0,2023-06-17T20:44:38Z
Evening Tennis,Workout,0.0,4295,0.0,2023-06-17T01:49:35Z
Evening Walk,Walk,2209.9,1355,25.2,2023-06-17T01:08:06Z
Evening Tennis,Workout,0.0,5465,0.0,2023-06-16T02:33:35Z
Evening Ride,Ride,6377.2,1382,75.6,2023-06-16T01:42:03Z
Morning Walk,Walk,1855.6,1406,0.0,2023-06-15T17:44:57Z
Evening Ride,Ride,6355.0,1456,86.4,2023-06-15T03:50:32Z
Evening Tennis,Workout,0.0,2842,0.0,2023-06-15T02:46:43Z
Evening Pickleball,Workout,0.0,459,0.0,2023-06-15T02:17:25Z
Afternoon Ride,Ride,6142.2,1354,76.2,2023-06-14T22:27:42Z
Post-wine bar ,Ride,2619.0,820,75.6,2023-06-14T02:53:49Z
Pickleball to dumplings ,Ride,3734.4,736,14.0,2023-06-14T00:42:27Z
Afternoon Pickleball,Workout,0.0,4023,0.0,2023-06-13T23:22:45Z
Afternoon Ride,Ride,6826.7,1576,73.6,2023-06-13T21:43:37Z
Night Walk,Walk,1462.7,239,0.0,2023-06-13T04:56:55Z
Laps x steps ,Run,5944.0,2256,33.6,2023-06-12T23:49:18Z
Lunch Run,Run,1028.5,343,10.0,2023-06-12T19:13:00Z
Evening Weight Training,WeightTraining,0.0,1375,0.0,2023-06-12T01:39:17Z
Evening Elliptical,Elliptical,0.0,1520,0.0,2023-06-12T01:11:11Z
Afternoon Walk,Walk,3320.0,3020,107.0,2023-06-11T23:36:14Z
Lunch Walk,Walk,3115.5,2410,22.4,2023-06-11T18:51:51Z
Modified beach run ,Run,13138.3,4838,94.2,2023-06-10T22:07:58Z
Pre-flight run for coffee ,Run,812.7,295,10.8,2023-06-10T14:38:28Z
20 min Broadway Ride with Benny Adami,Ride,9144.6,1201,0.0,2023-06-10T00:22:36Z
30 min Disney Ride with Emma Lovewell,Ride,13505.2,1800,0.0,2023-06-09T23:50:48Z
Afternoon Walk,Walk,634.9,469,15.8,2023-06-09T22:41:22Z
Morning Walk,Walk,1082.3,117,0.0,2023-06-09T16:47:58Z
30 min The Little Mermaid Ride with Tunde Oyeneyin,Ride,13290.2,1800,0.0,2023-06-09T02:39:28Z
Night Walk,Walk,2282.2,1925,96.2,2023-06-08T06:20:16Z
Lunch Ride to conf ,Ride,5887.7,1610,22.2,2023-06-07T19:02:58Z
Evening Tennis,Workout,0.0,6247,0.0,2023-06-07T01:33:23Z
Evening Walk,Walk,2368.7,1082,2.4,2023-06-07T01:12:15Z
Lobby day break walk and talk ,Walk,3924.5,2992,18.0,2023-06-05T22:29:36Z
Afternoon Walk,Walk,1437.2,376,0.0,2023-06-04T23:52:48Z
Afternoon Ride,Ride,6345.9,1422,86.0,2023-06-04T21:04:39Z
Afternoon Pickleball,Workout,0.0,1102,0.0,2023-06-04T20:36:15Z
Afternoon Pickleball,Workout,0.0,365,0.0,2023-06-04T20:15:09Z
Morning Ride,Ride,6164.8,1371,68.8,2023-06-04T15:30:57Z
Evening Walk,Walk,1952.9,1440,89.8,2023-06-04T01:16:09Z
Afternoon Pickleball,Workout,0.0,10074,0.0,2023-06-03T22:05:54Z
Afternoon Run,Run,1924.6,1042,9.4,2023-06-03T21:32:50Z
Post-movie contemplate bike party ,Run,11272.8,4316,133.2,2023-06-02T22:11:09Z
Lunch Run to movie ,Run,2186.0,720,20.8,2023-06-02T19:22:46Z
Morning Walk,Walk,1968.0,1390,2.2,2023-06-01T17:22:43Z
Night Ride,Ride,6270.8,1487,85.0,2023-06-01T04:36:24Z
Afternoon Tennis,Workout,0.0,512,0.0,2023-06-01T00:34:00Z
Afternoon Ride,Ride,6057.1,1482,66.8,2023-05-31T22:21:42Z
Night Ride,Ride,6483.4,1423,85.8,2023-05-31T05:10:15Z
Evening Tennis,Workout,0.0,8299,0.0,2023-05-31T02:40:16Z
Jen singles practice ,Workout,0.0,5294,0.0,2022-10-10T00:21:25Z
Tennis to chill ride to beach with Soumi and jen to zoom back ,Ride,16830.7,4374,142.5,2022-10-08T22:35:49Z
Ride to ggp cheer on team ,Ride,7910.3,1909,67.2,2022-10-08T18:36:25Z
Afternoon Ride,Ride,13718.1,3254,82.2,2022-10-06T22:09:07Z
Morning Ride,Ride,5882.2,1215,12.5,2022-10-06T17:31:01Z
Tri-level dubs practice -> samwell singles 🎾,Workout,0.0,6795,0.0,2022-10-04T01:12:09Z
James singles pre-lifting 🎾🎾,Workout,0.0,4405,0.0,2022-10-03T01:39:04Z
Morning Ride,Ride,15729.7,3774,135.5,2022-09-30T17:09:32Z
Evening Ride,Ride,2382.6,809,39.2,2022-09-30T01:04:45Z
Afternoon Ride,Ride,3164.9,759,12.9,2022-09-29T20:37:09Z
Ride to lunch + grocery shop with Diane my love,Ride,2432.1,656,0.0,2022-09-29T18:37:48Z
Morning Ride,Ride,2705.5,579,0.0,2022-09-29T17:11:41Z
8.5 dubs with warmup ,Workout,0.0,9667,0.0,2022-09-29T01:17:51Z
Afternoon Ride,Ride,2781.2,981,53.8,2022-09-28T23:57:40Z
Morning Ride,Ride,3772.1,1143,0.0,2022-09-28T17:04:45Z
Quick dubs practice ,Workout,0.0,4029,0.0,2022-09-28T00:55:09Z
Cycling is making me weak 😠😤,Run,5619.8,2186,81.4,2022-09-26T00:09:42Z
Mixed dubs Sarah in town ,Workout,0.0,3464,0.0,2022-09-24T18:09:55Z
Long way home ish ride into Sam ,Ride,8692.6,2174,65.7,2022-09-22T23:52:05Z
Pre-matt hq ,Ride,28398.6,6209,178.4,2022-09-22T15:16:39Z
9.5 dubs lfg 3 sets vs Olympic club,Workout,0.0,8950,0.0,2022-09-20T01:36:11Z
Post-brunch ride ,Ride,5473.3,1299,45.8,2022-09-18T21:36:46Z
Bike 2 cole valley brunch ,Ride,5894.4,1619,80.9,2022-09-18T18:58:38Z
8.5 dubs ,Workout,0.0,6532,0.0,2022-09-17T21:03:38Z
Ride for yes on j prop ad jfk,Ride,35836.6,9109,243.0,2022-09-16T14:47:13Z
Sightsee x shop x couldn’t find boba in mall ATL,Run,12193.3,4911,133.6,2022-09-14T22:05:48Z
Pre-refactr/great highway + devil's teeth,Ride,30216.9,6866,207.7,2022-09-12T14:26:40Z
Kristine singles🎾 finally,Workout,0.0,4403,0.0,2022-09-12T01:39:22Z
9.5 dubs ,Workout,0.0,5908,0.0,2022-09-10T02:12:46Z
Tennis Warmup ,Workout,0.0,2341,0.0,2022-09-10T01:15:20Z
Bike bus + telescope coffee! ,Ride,7457.9,2776,69.1,2022-09-09T14:50:54Z
Morning Ride,Ride,10528.2,2494,100.3,2022-09-09T13:47:34Z
ICG Ride,Ride,0.0,1657,0.0,2022-09-06T23:28:56Z
Acai bowl walk,Walk,3331.0,2593,10.9,2022-09-04T16:04:18Z
Pennapps break meet Kennedy ,Walk,6370.9,4961,33.6,2022-09-03T21:52:10Z
Night ride from post-meetup Kimberly Thai dinner,Ride,4328.8,1312,14.3,2022-09-01T02:21:08Z
Ride back to hotel for 1:1,Ride,3181.4,763,14.3,2022-08-30T19:00:55Z
"1 walk, 4 nyc bookstores ",Walk,7761.1,5439,8.7,2022-08-30T16:16:37Z
Need to time red/green lights better ,Ride,13742.2,3630,95.2,2022-08-28T22:54:27Z
Hackcon Wellness center ride,Ride,6301.8,1715,78.9,2022-08-27T13:11:20Z
Upper Hudson River walk night ride ,Ride,16862.4,4306,55.6,2022-08-26T02:27:37Z
Run with Shubha to blue barn ,Run,8074.1,3776,29.6,2022-08-23T01:24:22Z
Brian 3 sets 🎾🎾,Workout,0.0,8417,0.0,2022-08-22T00:08:20Z
Walk from GGP stop in Alamo square bc elise ,Walk,5266.5,3969,113.1,2022-08-21T20:50:10Z
New team tennis social dubs ,Workout,0.0,9380,0.0,2022-08-21T17:18:47Z
Walk to GGP ,Walk,6577.6,4981,104.9,2022-08-21T15:40:00Z
Run to books Inc ,Run,6468.8,2661,109.0,2022-08-21T00:01:21Z
First hawk hill run! ,Run,27388.5,12171,344.1,2022-08-15T20:42:04Z
"Post-dim sum, pre-pageant lands end ",Run,18777.4,7836,287.1,2022-08-13T20:26:58Z
Mixed dubs,Workout,0.0,7136,0.0,2022-08-13T01:12:16Z
Bball experience kc ,Workout,0.0,1760,0.0,2022-08-11T18:20:36Z
Quick KC sightseeing ,Run,6577.1,2356,91.4,2022-08-10T21:05:47Z
Walk for coffee + museum ,Walk,4332.9,3294,24.1,2022-08-10T18:28:00Z
KCDC day 1,Ride,0.0,732,0.0,2022-08-09T00:45:25Z
Sectionals semis singles ,Workout,0.0,6549,0.0,2022-08-07T15:06:29Z
Jean dubs sectionals day 2 ,Workout,0.0,3881,0.0,2022-08-07T01:02:26Z
Singles sectionals day 2 ,Workout,0.0,7230,0.0,2022-08-06T19:52:36Z
Dubs sectionals day 1 ,Workout,0.0,6361,0.0,2022-08-05T23:40:31Z
Lunchtime singles ,Workout,0.0,4479,0.0,2022-08-01T19:10:15Z
Walk back from author event Will,Walk,3167.9,2617,95.6,2022-08-01T03:21:24Z
East bay dubs ,Workout,0.0,7295,0.0,2022-07-31T17:21:43Z
GGP mixed dubs ,Workout,0.0,7226,0.0,2022-07-30T01:01:03Z
Walk 2 werk dinner ,Walk,2675.8,2420,15.6,2022-07-27T21:24:31Z
Walk to coffee and conference,Walk,2681.5,1909,5.6,2022-07-27T12:20:26Z
Dumplings to cannolis to bike back pipeline,Ride,3356.7,1295,20.6,2022-07-27T03:13:14Z
"Easy mon-yay, hard borough hills ",Run,5267.7,2274,64.3,2022-07-26T01:12:51Z
Monterey bay with ami! ,Rowing,0.0,2860,0.0,2022-07-24T20:58:31Z
Monter-yay,Walk,1481.6,1464,8.0,2022-07-24T18:47:55Z
Post-root.vc 2 Napa ,Walk,3712.9,2933,89.2,2022-07-24T01:21:21Z
Mixed dubs social how did my back get so sweaty,Workout,0.0,6557,0.0,2022-07-23T01:12:47Z
Night run post-Notion api shenanigans ,Run,4969.0,1635,0.0,2022-07-21T03:29:34Z
Night Walk,Walk,965.4,741,7.0,2022-07-20T04:01:47Z
Devin p2🎾,Workout,0.0,8851,0.0,2022-07-19T01:26:55Z
Farmers market ,Walk,4001.1,3111,84.5,2022-07-17T20:58:14Z
Devin🎾💪,Workout,0.0,11088,0.0,2022-07-17T00:29:59Z
Matcha to mixed dubs ,Walk,7086.6,4944,94.0,2022-07-15T23:14:17Z
1st post-Covid run into shubha! ,Run,12956.0,5686,75.9,2022-07-13T00:39:06Z
Walk post-scoma’s w/ griffin ,Walk,2302.0,2072,117.9,2022-07-12T02:42:20Z
Playoffs,Workout,0.0,8368,0.0,2022-07-10T18:23:26Z
Walk to playoffs ,Walk,5968.0,4056,86.9,2022-07-10T17:06:02Z
East bay dubs ty bart ,Workout,0.0,6809,0.0,2022-07-09T17:50:49Z
Night Walk,Walk,843.4,647,42.9,2022-07-09T07:10:38Z
Mixed dubs 🎾🎾,Workout,0.0,6949,0.0,2022-07-09T01:04:00Z
To tennissss,Walk,6283.1,4694,92.7,2022-07-08T23:19:05Z
"Hoppy birdy, Chad! ",Walk,4929.2,4403,125.9,2022-07-02T18:48:08Z
Didn’t start Strava till after past north beach ,Walk,2917.4,2790,141.2,2022-07-01T22:59:46Z
EZ ,Run,4018.8,1553,4.7,2022-06-30T02:49:57Z
Walk 2 &Juliet!! ,Walk,1892.5,1289,0.0,2022-06-22T23:26:40Z
Post-conf happy hr ,Walk,2759.4,2156,15.3,2022-06-22T01:20:31Z
Distillery district is so cute Omg post-cocktails ,Walk,3235.3,2707,18.7,2022-06-21T01:07:52Z
Boba * badge pickup ,Walk,4925.4,3900,5.5,2022-06-20T19:19:39Z
Collision conf post-redeye,Walk,5088.1,3439,12.5,2022-06-20T13:44:58Z
Last reg season singles 🎾🎾🎾🎾,Workout,0.0,5090,0.0,2022-06-18T22:20:40Z
Walk post-shiv body shots ,Walk,2016.9,1655,60.2,2022-06-18T05:02:36Z
Finals walkkk,Walk,3734.8,2991,90.9,2022-06-17T05:04:17Z
Pre-warriors post-meetings I’m dehydrated omg,Run,5487.6,1728,0.0,2022-06-16T21:53:05Z
WA coast,Walk,6107.8,4676,172.5,2022-06-13T17:36:23Z
Election Day lit drop ,Walk,12232.4,11842,190.4,2022-06-07T12:42:43Z
Day b4 Election Day lit drop ,Walk,3927.2,4100,0.0,2022-06-07T00:28:29Z
Devin🎾🎾🍕🍕,Workout,0.0,9642,0.0,2022-06-05T00:11:59Z
Anaheimmm,Walk,3335.2,2372,3.6,2022-05-26T01:58:36Z
EEAAO walk back,Walk,1286.6,2105,87.6,2022-05-24T04:56:20Z
I could bus but I’ll walk ,Walk,3418.6,2317,8.4,2022-05-24T00:23:56Z
Beach Monday run ,Run,13253.9,5369,129.8,2022-05-23T21:20:01Z
I made my opponent break her racket 3 games in 🔥😮‍💨🎾🎾,Workout,0.0,4652,0.0,2022-05-21T23:09:47Z
Walk 2 tennis + pickup snax in jtown,Walk,6126.4,4200,75.7,2022-05-21T21:37:35Z
Pickleball is my new love ,Workout,0.0,5280,0.0,2022-05-21T02:14:16Z
Wozniak to tea pipeline ,Walk,769.5,594,3.4,2022-05-19T22:17:33Z
Lost professional  credibility by sweating alongside conf attendees ride 😭,Ride,0.0,1451,0.0,2022-05-19T05:16:40Z
Future stack break ,Walk,663.4,176,0.0,2022-05-18T01:15:51Z
Avoiding bay 2 breakers shenanigans beach run,Run,12512.4,5067,65.6,2022-05-16T00:52:13Z
Vidy p2,Walk,4090.6,2993,95.3,2022-05-14T21:39:53Z
Vidyyy,Walk,2855.4,2122,10.2,2022-05-14T20:40:12Z
4 souvla,Walk,3937.4,2677,48.2,2022-05-14T19:18:16Z
3.5 sets 🎾 devin lol,Workout,0.0,9913,0.0,2022-05-13T01:18:39Z
Night Walk,Walk,2016.9,1757,90.4,2022-05-12T04:06:18Z
Single/dubs🎾,Workout,0.0,4819,0.0,2022-05-12T02:38:22Z
"Clare dares to use my own spells against me, Potter 🎾🎾",Workout,0.0,5074,0.0,2022-05-10T01:39:54Z
GGP vs bay club singles 🎾☠️☠️☠️,Workout,0.0,5868,0.0,2022-05-07T02:05:16Z
DevNet Summit Team Bonding ebike Ride,Ride,14081.9,3706,128.2,2022-05-04T21:57:57Z
Devnet summit day 0 ,Walk,7296.8,5949,27.9,2022-05-02T22:47:06Z
Dubs,Workout,0.0,9645,0.0,2022-05-01T23:56:44Z
10s to indie bookstore day,Walk,7708.5,6071,136.0,2022-05-01T00:04:32Z
Sweeped oclub @ home 🎾🎾🧹🧹,Workout,0.0,6154,0.0,2022-04-30T20:32:30Z
Pickup Mochi donuts pre-match ,Walk,6123.5,4198,66.8,2022-04-30T18:56:39Z
Friday midnight walk ,Walk,1597.2,1603,0.0,2022-04-30T07:14:40Z
Car-free jfk birthday ,Walk,5015.8,3955,96.8,2022-04-29T01:32:26Z
Oly club singles ,Workout,0.0,6417,0.0,2022-04-28T02:14:35Z
"Easy pre-singles match run into maddy, Twitter mutual to tunnel top park",Run,9617.4,4054,136.5,2022-04-27T00:40:41Z
Post-twitch/tiktok laps,Run,5168.1,1684,0.0,2022-04-26T01:58:19Z
🎾🎾🎾,Workout,0.0,2786,0.0,2022-04-25T00:37:21Z
To sam’s ,Walk,1332.5,1152,22.9,2022-04-23T21:12:16Z
To matt haney’s bday kaiyo rooftop ,Walk,2892.3,1928,0.0,2022-04-23T20:09:52Z
Happy hr p3,Walk,2122.3,1674,89.2,2022-04-23T05:07:34Z
